id,title,text,author,label
11,New study links Mediterranean diet to reduced cardiovascular risk,"A landmark study involving 25,000 participants over fifteen years has confirmed that adherence to a Mediterranean diet significantly reduces the risk of cardiovascular disease. Published in the New England Journal of Medicine, the research found that individuals who consistently followed the diet had a 35 percent lower incidence of heart attacks and strokes. The diet emphasizes olive oil, fish, legumes, whole grains, and fresh vegetables while limiting red meat and processed foods. Lead researcher Dr. Antonio Greco called the findings the most robust evidence yet for dietary intervention in heart health.",Michelle Fontaine,1
12,Miracle cure discovered: Drinking bleach eliminates all viruses instantly,"A rogue biochemist who was fired from a major research institution after making a groundbreaking discovery has revealed that diluted bleach consumption can instantly neutralize all viral infections in the human body. The scientist, operating from an underground laboratory to avoid government persecution, claims to have successfully treated thousands of patients with severe viral illnesses using this simple and inexpensive method. Mainstream medicine refuses to acknowledge the treatment because it would eliminate the need for expensive pharmaceutical drugs. Share this vital information before it gets censored.",FreedomMedNews,0
13,European Union agrees on landmark digital privacy regulations,"After two years of negotiations, European Union member states have reached unanimous agreement on comprehensive digital privacy legislation that will impose strict data handling requirements on technology companies operating in the bloc. The regulations include mandatory data breach notifications within 48 hours, explicit consent requirements for data collection, and substantial fines for violations. Consumer advocacy groups praised the agreement while industry representatives expressed concern about compliance costs.",Klaus Müller,1
14,Secret elites meeting in underground bunker to plan population reduction,"Investigative journalists embedded within a secretive global elite network have documented shocking evidence of a planned global population reduction scheme being coordinated from a vast underground facility located beneath a major European capital. According to recordings allegedly obtained from inside the facility, the world's wealthiest individuals and most powerful political figures gather quarterly to coordinate policies designed to eliminate what they call the surplus population through engineered food shortages and manufactured diseases.",DeepStateExposed,0
15,Renewable energy now accounts for 30 percent of global electricity,"The International Energy Agency released data showing that renewable energy sources collectively generated 30 percent of global electricity for the first time in recorded history during the previous calendar year. Solar and wind power drove most of the growth, with combined capacity additions reaching 400 gigawatts. The milestone represents a significant acceleration from the 22 percent share recorded five years ago. IEA Executive Director Fatih Birol described the achievement as a turning point in the global energy transition.",Yuki Tanaka,1
16,Scientists confirm that eating magnets grants supernatural abilities,"A group of rogue physicists working outside the academic establishment have made a breakthrough discovery suggesting that ingesting small neodymium magnets can awaken dormant areas of the human brain, granting users enhanced telepathic abilities, night vision, and the power to predict future events. Hundreds of early adopters in online communities report experiencing these effects after following the simple protocol developed by the researchers. Major scientific journals have refused to publish the findings, which scientists claim proves institutional suppression of revolutionary knowledge.",BiohackersUnited,0
17,University researchers develop breakthrough water purification method,Engineers at MIT have developed a new desalination technique that reduces energy consumption by 80 percent compared to conventional reverse osmosis methods. The process uses a specially engineered membrane with embedded carbon nanotubes that allow water molecules to pass through while blocking salt ions. Field tests conducted in coastal communities in Morocco demonstrated successful production of drinking-quality water from seawater at costs competitive with municipal treatment facilities. The technology could transform water access in arid regions worldwide.,Priya Sharma,1
18,Local man discovers ancient code in pizza menu predicting apocalypse,"A self-taught numerologist from suburban New Jersey has uncovered what he believes to be an ancient Babylonian warning code embedded within the menu of a popular pizza chain, predicting a catastrophic global event within the next three months. By applying a complex series of numerical transformations to pizza prices and topping descriptions, the man has decoded a message that precisely matches predictions made by the Book of Revelation. He has shared his findings on multiple social media platforms, where the post has been shared millions of times.",ProphecyUnlocked,0
19,Global food prices stabilize after two years of volatility,"The United Nations Food and Agriculture Organization reported that its Food Price Index declined for the eighth consecutive month, signaling stabilization after a period of significant volatility driven by supply chain disruptions and geopolitical factors. Grain prices showed the most improvement, falling 18 percent from their peak levels. The stabilization is providing relief to lower-income countries that depend heavily on food imports. Economists caution that structural vulnerabilities in global agricultural supply chains remain a long-term concern.",David Okonkwo,1
20,Vaccines contain microchips that broadcast your thoughts to tech companies,"Whistleblowers from inside a major pharmaceutical corporation have leaked internal documents revealing that recent vaccine formulations contain microscopic electronic devices capable of monitoring brain activity and transmitting data wirelessly to corporate servers. The chips, allegedly developed in partnership with a well-known technology company, are designed to collect consumer preference data and feed it into marketing algorithms. The revelation comes after months of speculation from independent researchers who noticed unusual readings from EMF detection devices near recently vaccinated individuals.",VaccineAlert,0
21,Medical researchers announce progress on Alzheimer's treatment,"Clinical trial results presented at the International Conference on Alzheimer's Disease show that a new antibody therapy significantly slowed cognitive decline in early-stage patients over an 18-month treatment period. The drug, developed by Biogen and Eisai, reduced amyloid plaque accumulation in the brain by 65 percent compared to placebo. While not a cure, neurologists described the results as the most promising therapeutic advance in decades. Regulatory submission is planned for next year.",Dr. Elizabeth Forsythe,1
22,Flat earth confirmed by airline pilot who secretly filmed the edge,"A commercial airline pilot has come forward with stunning video footage allegedly showing the actual edge of the flat Earth disc, which he claims to have photographed during a secret detour on an international flight. The pilot, who says he is risking his career and safety to share this information, describes the edge as a towering ice wall patrolled by a multinational military force. He claims all pilots are sworn to secrecy under their employment contracts and that GPS systems are programmed to prevent planes from approaching the boundary.",FlatEarthTruth,0
23,International climate summit produces binding emissions agreement,"Representatives from 195 countries reached a new international agreement on greenhouse gas emissions reductions at the annual climate summit held in Geneva. The accord includes enhanced transparency mechanisms and financial commitments to support developing nations in transitioning away from fossil fuels. Environmental groups offered cautious praise while noting that implementation will require sustained political will. Independent analysts estimated the pledges, if fully honored, would limit warming to approximately 2.1 degrees Celsius above pre-industrial levels.",Sofia Almeida,1
24,Ancient pyramids are actually giant alien power plants still operational,"New research by an independent archaeologist who was expelled from mainstream academia has revealed that the Egyptian pyramids were not burial structures but are in fact massive energy generation facilities built by extraterrestrial beings approximately 10,000 years ago. Using a combination of dowsing rods and proprietary electromagnetic sensing equipment, the researcher claims to have detected powerful energy fields emanating from the pyramid interiors. He believes the structures are still actively powering a hidden alien base located beneath the Sahara Desert.",AncientAlienResearch,0
25,Tech companies announce major investments in AI safety research,Several of the world's leading artificial intelligence companies jointly announced a 500 million dollar commitment to fund independent research into AI safety and alignment. The initiative will establish a new non-profit research institute with the mandate to study potential risks from advanced AI systems and develop technical solutions. The announcement was welcomed by AI safety researchers who have long called for greater industry investment in addressing long-term risks from the technology.,Alex Kim,1
26,Government weather machines causing all recent natural disasters,"Documents obtained by a network of freedom researchers confirm that recent hurricanes, earthquakes, and wildfires were not natural events but were deliberately engineered using classified atmospheric manipulation technology known as HAARP. According to the analysis, the targeted destruction follows a clear pattern designed to displace populations from resource-rich areas so that multinational corporations can seize control of valuable land. Military insiders have confirmed off the record that the technology has been operational since the 1990s and is capable of triggering seismic events remotely.",WeatherWarfare,0
27,Global literacy rates reach historic high according to UNESCO,"UNESCO's annual education report reveals that global adult literacy rates have reached 87 percent, the highest level ever recorded. The greatest improvements were observed in South Asia and West Africa, where targeted literacy programs supported by government and international funding showed measurable results. The report also highlighted persistent disparities between urban and rural populations and between men and women in certain regions. UNESCO Director-General Audrey Azoulay emphasized that reaching universal literacy requires continued investment in education infrastructure.",Fatima Hassan,1
28,Time traveler from 2157 warns of imminent societal collapse,"A man claiming to have traveled back in time from the year 2157 held an exclusive interview with our publication in which he shared disturbing details about the imminent future. According to his account, a series of events beginning next month will trigger an irreversible cascade leading to the complete collapse of global civilization within 18 months. The time traveler provided supposedly verifiable details about specific future events and urged readers to begin stockpiling supplies and moving to rural areas immediately. He claims multiple governments are already aware of what is coming.",ChronoInsider,0
29,Scientists confirm discovery of exoplanet in habitable zone,"Astronomers using the James Webb Space Telescope have confirmed the existence of a rocky exoplanet orbiting within the habitable zone of a nearby star system located 40 light-years from Earth. Spectroscopic analysis suggests the planet may have an atmosphere containing water vapor, though further observations are needed to confirm surface conditions. The discovery, published in the journal Astronomy and Astrophysics, has renewed scientific interest in the search for potentially life-supporting environments beyond our solar system.",Dr. Hiroshi Watanabe,1
30,Scientists paid to hide evidence that the sun is artificial,"A network of astronomers working at observatories around the world have reached out to independent media to reveal that the sun is not a natural stellar body but is in fact an artificial construct maintained by an advanced technological civilization. According to the whistleblowers, all data collected by major space agencies is filtered and modified before public release to hide evidence of the sun's artificial nature, including regular maintenance activities visible as solar flares. The scientists say they face immediate termination and worse if their identities are revealed.",CosmicTruthTellers,0
31,Parliament passes new infrastructure spending bill,"Lawmakers approved a comprehensive infrastructure investment package worth 1.2 trillion dollars after months of bipartisan negotiations. The legislation allocates funds for road and bridge repairs, broadband expansion, water system upgrades, and public transit improvements across all 50 states. Congressional Budget Office projections suggest the spending will create approximately 800,000 jobs over the next decade. The president signed the bill into law at a White House ceremony attended by governors and mayors from both parties.",Congressional Reporter,1
32,Scientists discover that gravity is actually mind control by government,"A maverick physicist who was forced out of his prestigious university position after questioning established physics has revealed that gravity as described by mainstream science does not exist. According to his research, what we experience as gravitational pull is actually a low-frequency electromagnetic signal broadcast from a global network of hidden transmitters controlled by a shadowy international consortium. The technology was allegedly developed based on knowledge obtained from recovered extraterrestrial spacecraft and has been kept secret for over 70 years.",PhysicsRebel,0
33,Central bank holds rates steady citing economic uncertainty,"The central bank's monetary policy committee voted to maintain its benchmark interest rate unchanged at its latest meeting, citing mixed economic signals including slowing growth in the manufacturing sector alongside persistent but moderating inflation. The decision was in line with market expectations. Policymakers indicated that future rate decisions will be guided by incoming data on employment, inflation, and global economic conditions. The bank released updated economic projections showing lower growth forecasts for the coming year.",Financial Desk,1
34,Hollywood stars are actually clones created in underground laboratories,"Multiple anonymous sources within the entertainment industry have come forward to reveal that many of Hollywood's biggest celebrities are in fact identical clones produced in secret government-funded laboratories. The originals, according to these sources, were eliminated years ago after signing agreements with entities that control the entertainment industry. The cloning technology, reportedly developed with assistance from off-world beings, allows for perfect physical replication but requires regular maintenance procedures, which explain celebrities' frequent unexplained absences from public life.",CelebrityTruthers,0
35,Health authorities update guidelines on dietary recommendations,"Public health authorities have released updated nutritional guidelines incorporating new research on the relationship between diet and chronic disease prevention. The revised recommendations emphasize increased consumption of plant-based foods, whole grains, and lean proteins while reducing sodium, added sugars, and saturated fats. The guidelines also include new sections on sustainable food choices and the health impacts of ultra-processed food consumption. The update reflects evidence accumulated since the previous guidelines were issued eight years ago.",Health Correspondent,1
36,Ancient manuscripts prove that history has been completely fabricated,"A linguist who developed a proprietary method for decoding hidden messages in ancient texts claims to have proven that virtually all recorded human history prior to 1800 AD is a complete fabrication created by a small group of European scholars who invented the false historical record to control populations. The researcher claims that civilization as we know it is only about 300 years old and that all artifacts, ruins, and historical documents from before this period are elaborate forgeries. Mainstream historians refuse to examine his evidence.",HistoryFraud,0
37,Technology company announces record quarterly profits,"A major technology corporation reported its highest-ever quarterly earnings on Thursday, driven by strong growth in cloud computing services and digital advertising revenue. The company posted net income of 21 billion dollars on revenues of 87 billion dollars, exceeding analyst expectations by a significant margin. The CEO credited investments in artificial intelligence infrastructure and expansion into emerging markets for the performance. The results sent the company's share price up 6 percent in after-hours trading.",Tech Reporter,1
38,Water fluoridation causing mass amnesia across western populations,"Biochemical analysis conducted by a private laboratory not funded by government or corporate interests has allegedly confirmed that the form of fluoride added to municipal water systems is converted by the human body into a compound that selectively disrupts long-term memory formation. According to the analysis, populations in fluoridated regions score dramatically lower on tests of historical knowledge and civic awareness, suggesting deliberate use of the chemical to prevent citizens from remembering important facts about government misconduct.",PurewaterActivist,0
39,International trade negotiations resume after six-month pause,Senior trade officials from major economies convened in Singapore this week to resume negotiations on a new multilateral trade framework after talks broke down six months ago over disagreements on agricultural subsidies and intellectual property protections. The current round of discussions is focused on narrower technical issues with the aim of building trust between negotiating parties before returning to contentious topics. Trade economists cautiously welcomed the resumption of talks as an important step toward reducing global trade fragmentation.,Trade Correspondent,1
40,Major airport is actually a command center for reptilian overlords,"An employee who recently terminated their employment at one of the world's busiest international airports has come forward with documentation claiming that the facility contains a vast secret underground installation that serves as a command and coordination center for reptilian entities that have infiltrated human civilization. The source claims that certain restricted areas of the airport contain technology far beyond known human capability, and that many senior airport and airline officials are not human beings but rather sophisticated biological replicas.",AirportExposed,0
41,Scientists discover new species of deep-sea fish in Pacific Ocean,"Marine biologists from the University of California have identified a previously unknown species of fish living at depths exceeding 3,000 meters in the Pacific Ocean. The discovery was made using remotely operated vehicles equipped with high-definition cameras. The fish, named Bathynomus giganteus californicus, exhibits bioluminescent properties unique among known species. Researchers published their findings in the journal Nature Marine Biology after two years of study. The discovery highlights the vast unexplored territory that remains in Earth's deep oceans.",Dr. Sarah Chen,1
42,SHOCKING: Government secretly adding mind control chemicals to drinking water,"Anonymous sources have revealed that government agencies have been covertly adding experimental chemicals to municipal water supplies across the country for decades. These substances, according to unnamed whistleblowers, are designed to make populations more compliant and easier to control. Documents allegedly obtained by hackers show that multiple administrations were involved in covering up this massive conspiracy. Medical professionals who attempted to expose the truth were reportedly silenced through intimidation. The general population remains completely unaware of this ongoing violation of their rights.",TruthSeeker99,0
43,Federal Reserve raises interest rates by 0.25 percent,"The Federal Reserve announced a quarter-point increase in its benchmark interest rate on Wednesday, citing continued concerns about inflation remaining above the central bank's two percent target. Fed Chair Jerome Powell stated that the decision was unanimous among voting members of the Federal Open Market Committee. This marks the third rate increase this year as policymakers attempt to balance curbing inflation with avoiding a recession. Financial markets responded with moderate volatility following the announcement.",James Whitfield,1
44,"Celebrity caught shapeshifting on live television, video going viral","Millions of viewers were stunned last night when a famous Hollywood star appeared to briefly transform into a reptilian entity during a live broadcast awards ceremony. The footage, which has been viewed over 50 million times, clearly shows the celebrity's eyes changing to vertical slits before the feed was allegedly cut by network executives. Multiple eyewitnesses at the event confirmed seeing the transformation firsthand. Experts in reptilian human theory say this is the most compelling evidence yet that world elites are not human. Networks have refused to comment on the incident.",ReptileWatcher,0
45,NASA successfully launches new climate monitoring satellite,"NASA's latest Earth observation satellite, the Climate Continuity Mission, successfully launched from Cape Canaveral aboard a SpaceX Falcon 9 rocket at 6:47 AM Eastern Time. The satellite will monitor greenhouse gas concentrations, sea surface temperatures, and polar ice coverage with unprecedented precision. Mission Director Laura Hernandez confirmed all systems are functioning nominally after the spacecraft reached its intended orbit. The mission is expected to provide critical data for climate scientists over the next decade.",Robert Nakamura,1
46,Doctors don't want you to know this one trick to cure all diseases,"A humble farmer from rural Ohio has discovered a miraculous natural remedy that pharmaceutical companies have been desperately trying to suppress for years. By simply combining common household ingredients available at any grocery store, patients have reportedly cured themselves of cancer, diabetes, heart disease, and dozens of other conditions. The farmer, who wishes to remain anonymous for fear of retaliation from Big Pharma, shared his formula exclusively with our publication. Thousands of grateful users have already reported complete recovery from previously terminal conditions.",NaturalHealthGuru,0
47,WHO reports global vaccination rates improving in developing nations,"The World Health Organization released its annual immunization report showing significant progress in vaccination coverage across sub-Saharan Africa and Southeast Asia. According to the report, childhood vaccination rates in these regions increased by an average of 12 percent compared to the previous year. The improvement is attributed to enhanced cold chain infrastructure and community health worker training programs funded by international development organizations. Director-General Tedros Adhanom Ghebreyesus called the results encouraging but noted that more work remains.",Amara Osei,1
48,"Moon landing was filmed in Hollywood studio, new evidence proves","Newly declassified documents obtained through a Freedom of Information request allegedly confirm what conspiracy theorists have long suspected: the 1969 Apollo moon landing was an elaborate hoax staged in a secret Hollywood studio. The documents, supposedly signed by NASA officials, describe in detail how director Stanley Kubrick was hired to film the footage using advanced camera techniques developed for his film 2001: A Space Odyssey. Multiple film experts have reportedly verified that the lighting in the original footage could only have been produced on Earth.",MoonHoaxExposed,0
49,Stock markets reach new highs amid strong corporate earnings,"Major stock indices closed at record levels on Thursday after a series of better-than-expected quarterly earnings reports from leading technology and consumer goods companies. The S&P 500 gained 1.8 percent, while the Nasdaq Composite rose 2.3 percent. Analysts attributed the rally to robust consumer spending data and signs of easing supply chain pressures. Portfolio managers noted that investor sentiment has shifted positively following months of uncertainty about monetary policy direction.",Patricia Wozniak,1
50,5G towers are secretly harvesting human energy for alien overlords,"A bombshell report from an international network of independent researchers has revealed the true purpose of the 5G cellular network rollout. According to their findings, the towers are not designed to provide telecommunications services but are instead sophisticated energy harvesting devices that extract bioelectric energy from nearby humans. This energy is then transmitted to underground facilities where it is collected and sent to extraterrestrial beings who have made a secret agreement with world governments. Tech whistleblowers risk their lives to bring you this information.",AlienTruthNetwork,0
51,New study links Mediterranean diet to reduced cardiovascular risk,"A landmark study involving 25,000 participants over fifteen years has confirmed that adherence to a Mediterranean diet significantly reduces the risk of cardiovascular disease. Published in the New England Journal of Medicine, the research found that individuals who consistently followed the diet had a 35 percent lower incidence of heart attacks and strokes. The diet emphasizes olive oil, fish, legumes, whole grains, and fresh vegetables while limiting red meat and processed foods. Lead researcher Dr. Antonio Greco called the findings the most robust evidence yet for dietary intervention in heart health.",Michelle Fontaine,1
52,Miracle cure discovered: Drinking bleach eliminates all viruses instantly,"A rogue biochemist who was fired from a major research institution after making a groundbreaking discovery has revealed that diluted bleach consumption can instantly neutralize all viral infections in the human body. The scientist, operating from an underground laboratory to avoid government persecution, claims to have successfully treated thousands of patients with severe viral illnesses using this simple and inexpensive method. Mainstream medicine refuses to acknowledge the treatment because it would eliminate the need for expensive pharmaceutical drugs. Share this vital information before it gets censored.",FreedomMedNews,0
53,European Union agrees on landmark digital privacy regulations,"After two years of negotiations, European Union member states have reached unanimous agreement on comprehensive digital privacy legislation that will impose strict data handling requirements on technology companies operating in the bloc. The regulations include mandatory data breach notifications within 48 hours, explicit consent requirements for data collection, and substantial fines for violations. Consumer advocacy groups praised the agreement while industry representatives expressed concern about compliance costs.",Klaus Müller,1
54,Secret elites meeting in underground bunker to plan population reduction,"Investigative journalists embedded within a secretive global elite network have documented shocking evidence of a planned global population reduction scheme being coordinated from a vast underground facility located beneath a major European capital. According to recordings allegedly obtained from inside the facility, the world's wealthiest individuals and most powerful political figures gather quarterly to coordinate policies designed to eliminate what they call the surplus population through engineered food shortages and manufactured diseases.",DeepStateExposed,0
55,Renewable energy now accounts for 30 percent of global electricity,"The International Energy Agency released data showing that renewable energy sources collectively generated 30 percent of global electricity for the first time in recorded history during the previous calendar year. Solar and wind power drove most of the growth, with combined capacity additions reaching 400 gigawatts. The milestone represents a significant acceleration from the 22 percent share recorded five years ago. IEA Executive Director Fatih Birol described the achievement as a turning point in the global energy transition.",Yuki Tanaka,1
56,Scientists confirm that eating magnets grants supernatural abilities,"A group of rogue physicists working outside the academic establishment have made a breakthrough discovery suggesting that ingesting small neodymium magnets can awaken dormant areas of the human brain, granting users enhanced telepathic abilities, night vision, and the power to predict future events. Hundreds of early adopters in online communities report experiencing these effects after following the simple protocol developed by the researchers. Major scientific journals have refused to publish the findings, which scientists claim proves institutional suppression of revolutionary knowledge.",BiohackersUnited,0
57,University researchers develop breakthrough water purification method,Engineers at MIT have developed a new desalination technique that reduces energy consumption by 80 percent compared to conventional reverse osmosis methods. The process uses a specially engineered membrane with embedded carbon nanotubes that allow water molecules to pass through while blocking salt ions. Field tests conducted in coastal communities in Morocco demonstrated successful production of drinking-quality water from seawater at costs competitive with municipal treatment facilities. The technology could transform water access in arid regions worldwide.,Priya Sharma,1
58,Local man discovers ancient code in pizza menu predicting apocalypse,"A self-taught numerologist from suburban New Jersey has uncovered what he believes to be an ancient Babylonian warning code embedded within the menu of a popular pizza chain, predicting a catastrophic global event within the next three months. By applying a complex series of numerical transformations to pizza prices and topping descriptions, the man has decoded a message that precisely matches predictions made by the Book of Revelation. He has shared his findings on multiple social media platforms, where the post has been shared millions of times.",ProphecyUnlocked,0
59,Global food prices stabilize after two years of volatility,"The United Nations Food and Agriculture Organization reported that its Food Price Index declined for the eighth consecutive month, signaling stabilization after a period of significant volatility driven by supply chain disruptions and geopolitical factors. Grain prices showed the most improvement, falling 18 percent from their peak levels. The stabilization is providing relief to lower-income countries that depend heavily on food imports. Economists caution that structural vulnerabilities in global agricultural supply chains remain a long-term concern.",David Okonkwo,1
60,Vaccines contain microchips that broadcast your thoughts to tech companies,"Whistleblowers from inside a major pharmaceutical corporation have leaked internal documents revealing that recent vaccine formulations contain microscopic electronic devices capable of monitoring brain activity and transmitting data wirelessly to corporate servers. The chips, allegedly developed in partnership with a well-known technology company, are designed to collect consumer preference data and feed it into marketing algorithms. The revelation comes after months of speculation from independent researchers who noticed unusual readings from EMF detection devices near recently vaccinated individuals.",VaccineAlert,0
61,Medical researchers announce progress on Alzheimer's treatment,"Clinical trial results presented at the International Conference on Alzheimer's Disease show that a new antibody therapy significantly slowed cognitive decline in early-stage patients over an 18-month treatment period. The drug, developed by Biogen and Eisai, reduced amyloid plaque accumulation in the brain by 65 percent compared to placebo. While not a cure, neurologists described the results as the most promising therapeutic advance in decades. Regulatory submission is planned for next year.",Dr. Elizabeth Forsythe,1
62,Flat earth confirmed by airline pilot who secretly filmed the edge,"A commercial airline pilot has come forward with stunning video footage allegedly showing the actual edge of the flat Earth disc, which he claims to have photographed during a secret detour on an international flight. The pilot, who says he is risking his career and safety to share this information, describes the edge as a towering ice wall patrolled by a multinational military force. He claims all pilots are sworn to secrecy under their employment contracts and that GPS systems are programmed to prevent planes from approaching the boundary.",FlatEarthTruth,0
63,International climate summit produces binding emissions agreement,"Representatives from 195 countries reached a new international agreement on greenhouse gas emissions reductions at the annual climate summit held in Geneva. The accord includes enhanced transparency mechanisms and financial commitments to support developing nations in transitioning away from fossil fuels. Environmental groups offered cautious praise while noting that implementation will require sustained political will. Independent analysts estimated the pledges, if fully honored, would limit warming to approximately 2.1 degrees Celsius above pre-industrial levels.",Sofia Almeida,1
64,Ancient pyramids are actually giant alien power plants still operational,"New research by an independent archaeologist who was expelled from mainstream academia has revealed that the Egyptian pyramids were not burial structures but are in fact massive energy generation facilities built by extraterrestrial beings approximately 10,000 years ago. Using a combination of dowsing rods and proprietary electromagnetic sensing equipment, the researcher claims to have detected powerful energy fields emanating from the pyramid interiors. He believes the structures are still actively powering a hidden alien base located beneath the Sahara Desert.",AncientAlienResearch,0
65,Tech companies announce major investments in AI safety research,Several of the world's leading artificial intelligence companies jointly announced a 500 million dollar commitment to fund independent research into AI safety and alignment. The initiative will establish a new non-profit research institute with the mandate to study potential risks from advanced AI systems and develop technical solutions. The announcement was welcomed by AI safety researchers who have long called for greater industry investment in addressing long-term risks from the technology.,Alex Kim,1
66,Government weather machines causing all recent natural disasters,"Documents obtained by a network of freedom researchers confirm that recent hurricanes, earthquakes, and wildfires were not natural events but were deliberately engineered using classified atmospheric manipulation technology known as HAARP. According to the analysis, the targeted destruction follows a clear pattern designed to displace populations from resource-rich areas so that multinational corporations can seize control of valuable land. Military insiders have confirmed off the record that the technology has been operational since the 1990s and is capable of triggering seismic events remotely.",WeatherWarfare,0
67,Global literacy rates reach historic high according to UNESCO,"UNESCO's annual education report reveals that global adult literacy rates have reached 87 percent, the highest level ever recorded. The greatest improvements were observed in South Asia and West Africa, where targeted literacy programs supported by government and international funding showed measurable results. The report also highlighted persistent disparities between urban and rural populations and between men and women in certain regions. UNESCO Director-General Audrey Azoulay emphasized that reaching universal literacy requires continued investment in education infrastructure.",Fatima Hassan,1
68,Time traveler from 2157 warns of imminent societal collapse,"A man claiming to have traveled back in time from the year 2157 held an exclusive interview with our publication in which he shared disturbing details about the imminent future. According to his account, a series of events beginning next month will trigger an irreversible cascade leading to the complete collapse of global civilization within 18 months. The time traveler provided supposedly verifiable details about specific future events and urged readers to begin stockpiling supplies and moving to rural areas immediately. He claims multiple governments are already aware of what is coming.",ChronoInsider,0
69,Scientists confirm discovery of exoplanet in habitable zone,"Astronomers using the James Webb Space Telescope have confirmed the existence of a rocky exoplanet orbiting within the habitable zone of a nearby star system located 40 light-years from Earth. Spectroscopic analysis suggests the planet may have an atmosphere containing water vapor, though further observations are needed to confirm surface conditions. The discovery, published in the journal Astronomy and Astrophysics, has renewed scientific interest in the search for potentially life-supporting environments beyond our solar system.",Dr. Hiroshi Watanabe,1
